top - 08:56:38 up 37 min,  1 user,  load average: 0.26, 0.26, 0.23
Tasks: 148 total,   2 running, 146 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.5 us,  0.0 sy,  0.0 ni, 62.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3947.0 total,   1195.4 free,   1073.6 used,   1678.0 buff/cache
MiB Swap:   4094.0 total,   4094.0 free,      0.0 used.   2636.9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  924 debian1   20   0 2627292 335248 102608 S  25.0   8.3   4:51.21 gnome-shell
 1572 debian1   20   0   18.6g 244596 111872 R   6.2   6.1   0:42.99 code
    1 root      20   0  104100  10428   8004 S   0.0   0.3   0:01.10 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0   0.0   0:00.69 rcu_sched
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
   13 root      20   0       0      0      0 I   0.0   0.0   0:01.10 kworker/0:1-events
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   16 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   22 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   23 root      39  19       0      0      0 S   0.0   0.0   0:00.31 khugepaged
   24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
   26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
   28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   29 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
  110 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh_0
  111 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
  113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  116 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh_2
  117 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker/u2:2-events_unbound
  118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
  128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
  130 root     -51   0       0      0      0 S   0.0   0.0   0:00.20 irq/18-vmwgfx
  161 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker/0:1H-kblockd
  199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u3:0
  201 root      20   0       0      0      0 S   0.0   0.0   0:00.07 jbd2/sda1-8
  202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
  239 root      20   0   26952   8976   7420 S   0.0   0.2   0:00.22 systemd-journal
  261 root      20   0   23016   5192   3860 S   0.0   0.1   0:00.05 systemd-udevd
  294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VBoxWQueue
  398 message+  20   0   10580   5736   3812 S   0.0   0.1   0:00.56 dbus-daemon
  399 root      20   0   19568   7392   6364 S   0.0   0.2   0:00.09 systemd-logind
  401 root      20   0   29224   7808   6716 S   0.0   0.2   0:00.01 cupsd
  403 root      20   0  225824   3852   3156 S   0.0   0.1   0:00.02 rsyslogd
  404 root      20   0  398920  12740  10336 S   0.0   0.3   0:00.03 udisksd
  410 root      20   0  238644   8964   5992 S   0.0   0.2   0:00.02 accounts-daemon
  413 root      20   0  318336  10036   8564 S   0.0   0.2   0:00.02 ModemManager
  414 root      20   0   19768   5200   4592 S   0.0   0.1   0:00.00 wpa_supplicant
  420 root      20   0    8512   2624   2416 S   0.0   0.1   0:00.00 cron
  421 root      20   0  332756  16004  13576 S   0.0   0.4   0:00.12 NetworkManager
  426 avahi     20   0    8280   3668   3292 S   0.0   0.1   0:00.03 avahi-daemon
  442 avahi     20   0    8156    324      0 S   0.0   0.0   0:00.00 avahi-daemon
  445 root      20   0  185064  11148   9712 S   0.0   0.3   0:00.03 cups-browsed
  448 root      20   0  241192   9916   6792 S   0.0   0.2   0:00.32 polkitd
  498 root      20   0  125816  22216  14064 S   0.0   0.5   0:00.05 unattended-upgr
  502 root      20   0   15852   6624   5788 S   0.0   0.2   0:00.00 sshd
  536 root      39  19   31444   6092   5228 S   0.0   0.2   0:00.00 alsactl
  663 root      20   0  244040   7968   6848 S   0.0   0.2   0:00.00 gdm3
  675 root      20   0  292616   3192   2784 S   0.0   0.1   0:00.18 VBoxService
  736 rtkit     21   1  152648   2668   2428 S   0.0   0.1   0:00.01 rtkit-daemon
  745 root      20   0  258488   8924   7776 S   0.0   0.2   0:00.05 upowerd
  827 colord    20   0  249072  14292   8948 S   0.0   0.4   0:00.08 colord
  866 root      20   0  168892   8636   7348 S   0.0   0.2   0:00.01 gdm-session-wor
  871 debian1   20   0   21384   9272   7652 S   0.0   0.2   0:00.02 systemd
  872 debian1   20   0   23472   2520      4 S   0.0   0.1   0:00.00 (sd-pam)
  884 debian1   20   0  240584   7328   6368 S   0.0   0.2   0:00.03 gnome-keyring-d
  888 debian1   20   0  162164   5516   5016 S   0.0   0.1   0:00.00 gdm-wayland-ses
  890 debian1   20   0    9876   5168   3788 S   0.0   0.1   0:00.20 dbus-daemon
  892 debian1   20   0  500248  14888  12336 S   0.0   0.4   0:00.05 gnome-session-b
  932 debian1   20   0  240120   7364   6448 S   0.0   0.2   0:00.01 gvfsd
  937 debian1   20   0  315908   8160   5460 S   0.0   0.2   0:00.00 gvfsd-fuse
  939 debian1   20   0  146736  60648  43620 S   0.0   1.5   0:04.22 Xwayland
  953 debian1   20   0  312608   6532   5824 S   0.0   0.2   0:00.00 at-spi-bus-laun
